source,target,year,Tag
period,pitch,1990,no
command,run,1990,no
index,retrieval,1990,no
degree,stroke,1990,no
problem,service,1990,no
artificial_neural,data,1990,no
artificial_neural,processing_device,1990,no
artificial_neural,response,1990,no
data,processing_device,1990,no
data,response,1990,no
processing_device,response,1990,no
converter,power,1990,no
card,retrieval,1990,no
degree,execution,1990,no
degree,graphic,1990,no
command,natural_language,1990,no
retrieval,search,1990,no
location,period,1990,no
artificial_neural,number,1990,no
artificial_neural,store,1990,no
number,store,1990,no
index,run,1990,no
command,pitch,1990,no
store,synapsis,1990,no
period,speak,1990,no
synapse,synapsis,1990,no
coupling,link,1990,no
coupling,strength,1990,no
channel,coupling,1990,no
environment,optimum,1990,no
run,work,1990,no
output,unit,1990,no
link,mean,1990,no
mean,strength,1990,no
layer,unit,1990,no
inference,rule,1990,no
frequency,time,1990,no
code,relationship,1990,no
float,line,1990,no
attribute,program,1990,no
analog,bus,1990,no
function,message,1990,no
update,weight,1990,no
line,synapsis,1990,no
bus,cell,1990,no
level,noise,1990,no
array,column,1990,no
learn,pattern,1990,no
fuzzy,membership,1990,no
azimuth,mean,1990,no
speaker,voice,1990,no
signal,voice,1990,no
pattern,standard,1990,no
character,stroke,1990,no
speak,word,1990,no
linear,neural_network,1990,no
fuzzy,temperature,1990,no
cell,gate,1990,no
column,processing,1990,no
linear,phoneme,1990,no
prediction,standard,1990,no
command,control,1990,no
processor,store,1990,no
feature,net,1990,no
binary,parallel,1990,no
access,degree,1990,no
access,index,1990,no
obstacle,strength,1990,no
sensor,strength,1990,no
event,mechanism,1990,no
instruction,store,1990,no
index,update,1990,no
retrieval,update,1990,no
detection,string,1990,no
load,power,1990,no
environment,subsystem,1990,no
accumulate,region,1990,no
apparatus,search,1990,no
problem,subsystem,1990,no
service,subsystem,1990,no
answer,work,1990,no
load,work,1990,no
detection,transform,1990,no
index,portion,1990,no
mechanism,navigation,1990,no
binary,feedback,1990,no
feed,parallel,1990,no
pair,parallel,1990,no
environment,prediction,1990,no
graphic,interface,1990,no
arrangement,book,1990,no
event,response,1990,no
angle,command,1990,no
command,flight,1990,no
float,voltage,1990,no
decode,prediction,1990,no
accumulate,net,1990,no
characteristic,relationship,1990,no
decode,product,1990,no
coupling,member,1990,no
data,member,1990,no
apparatus,feedback,1990,no
fault,search,1990,no
book,sequence,1990,no
binary,synapse,1990,no
correlation,retrieval,1990,no
synapse,voltage,1990,no
synapsis,voltage,1990,no
navigation,wave,1990,no
distribution,power,1990,no
decode,transform,1990,no
coupling,update,1990,no
link,update,1990,no
strength,update,1990,no
graphic,string,1990,no
arrangement,store,1990,no
electric,wave,1990,no
data,pair,1990,no
characteristic,recognize,1990,no
channel,spectral,1990,no
channel,waveform,1990,no
pitch,secure,1990,no
robot,run,1990,no
robot,work,1990,no
camera,environment,1990,no
command,feed,1990,no
network,unit,1990,no
travel,vehicle,1990,no
hypothesis,rule,1990,no
character,net,1990,no
light,vehicle,1990,no
processor,truth,1990,no
program,user,1990,no
control,portion,1990,no
coefficient,standard,1990,no
standard,transfer,1990,no
block,cell,1990,no
node,voltage,1990,no
course,position,1990,no
neural,weight,1990,no
net,recognition,1990,no
learning,partial,1990,no
recognition,voice,1990,no
base,inference,1990,no
speaker,speech,1990,no
secure,voice,1990,no
element,function,1990,no
memory,weight,1990,no
execution,knowledge,1990,no
network,second,1990,no
character,document,1990,no
codebook,device,1990,no
switch,synapse,1990,no
transform,truth,1990,no
apparatus,measurement,1990,no
arrangement,feed,1990,no
arrangement,speech_recognition,1990,no
obstacle,sensor,1990,no
correlation,factor,1990,no
recognize,similarity,1990,no
acoustic,sequence,1990,no
detection,syllable,1990,no
