source,target,year
expert,subsystem,1990
digital,register,1990
arithmetic,bus,1990
bus,connection,1990
plurality,terminal,1990
terminal,transfer,1990
block,location,1990
interface,user,1990
user,write,1990
controller,distance,1990
diagnosis,text,1990
block,mechanism,1990
expert,fault,1990
instruction,user,1990
amplifier,store,1990
matrix,number,1990
analysis,text,1990
answer,user,1990
control_system,plurality,1990
digital,document,1990
dictionary,type,1990
controller,telephone,1990
array,surface,1990
array,synapse,1990
array,synapsis,1990
guide,path,1990
guide,transfer,1990
transfer,travel,1990
partial,transfer,1990
candidate,partial,1990
arrangement,gate,1990
binary,bit,1990
logic,segment,1990
path,segment,1990
linear,operation,1990
amplifier,data,1990
logic,target,1990
symbol,text,1990
environment,temperature,1990
optimum,temperature,1990
gate,region,1990
neuron,output,1990
model,word,1990
reference,vehicle,1990
telephone,voice,1990
circuit,fuzzy,1990
area,device,1990
inference,table,1990
bus,neuron,1990
analog,memory,1990
processing,system,1990
analog,system,1990
plant,state,1990
feature,recognition,1990
color,memory,1990
datum,device,1990
layer,neuron,1990
character,write,1990
function,state,1990
character,string,1990
engine,reasoning,1990
detection,error,1990
quantity,similarity,1990
array,product,1990
error,rate,1990
cell,problem,1990
analysis,reasoning,1990
beam,detect,1990
bus,set,1990
graphic,process,1990
expert,procedure,1990
command,input,1990
input,natural_language,1990
arrangement,matrix,1990
process,response,1990
error,processing_device,1990
matrix,stage,1990
guide,telephone,1990
codebook,noise,1990
parallel,processing,1990
float,input,1990
decode,error,1990
bus,storage,1990
level,machine,1990
cell,mechanism,1990
class,user,1990
frame,index,1990
frame,run,1990
control_system,controller,1990
connection,gate,1990
base,design,1990
base,operation,1990
array,correlation,1990
processing,processing_device,1990
amplifier,row,1990
array,row,1990
process,wave,1990
variable,wave,1990
bit,path,1990
distance,guide,1990
design,expert,1990
channel,noise,1990
color,graphic,1990
level,telephone,1990
bit,logic,1990
amplifier,pair,1990
membership,pressure,1990
date,waveform,1990
classification,pixel,1990
electric,temperature,1990
apparatus,date,1990
neural,test,1990
environment,noise,1990
circuit,telephone,1990
state,value,1990
layer,neural,1990
computer,fuzzy,1990
line,point,1990
block,neuron,1990
network,weight,1990
control,object,1990
circuit,terminal,1990
circuit,test,1990
display,rule,1990
sound,voice,1990
date,pct,1991
remote,voice_command,1991
natural_language,sentence,1991
expert,system,1991
course,travel,1991
beam,laser,1991
class,classification,1991
apply,decrease,1991
dimensional,wave,1991
element,neural,1991
fuzzy,membership,1991
learn,learning,1991
sentence,structure,1991
image_processing,processing_apparatus,1991
hand,write,1991
conclusion,valve,1991
guidance,wire,1991
analog,digital,1991
air,environment,1991
action,monitor,1991
drive,driver,1991
external,internal,1991
disk,drive,1991
target,travel,1991
diagnostic,hypothesis,1991
shift,transmission,1991
angle,flight,1991
linear,nonlinear,1991
linear,relation,1991
nonlinear,relation,1991
external,machine,1991
form,substrate,1991
engine,speed,1991
section,telephone,1991
environment,quantity,1991
attribute,structure,1991
training,waveform,1991
area,cell,1991
light,optical,1991
input,waveform,1991
cluster,resource,1991
matrix,multiplication,1991
template,utterance,1991
flight,path,1991
program,register,1991
engine,fuel,1991
membership,reasoning,1991
output,value,1991
execute,inference,1991
matrix,memory,1991
matrix,multipli,1991
final,sound,1991
attribute,sentence,1991
confidence,degree,1991
apply,weight,1991
decrease,weight,1991
event,operator,1991
function,membership,1991
function,nonlinear,1991
inference,knowledge,1991
speaker,speech_recognition,1991
file,tree,1991
second,storage,1991
address,storage,1991
detect,error,1991
decrease,operation,1991
operation,product,1991
course,target,1991
layer,output,1991
inference,rule,1991
candidate,word,1991
knowledge,tree,1991
base,knowledge,1991
string,word,1991
dictionary,word,1991
learn,vector,1991
memory,write,1991
component,focus,1991
memory,multiplication,1991
optical,processing_apparatus,1991
discrimination,speaker,1991
array,test,1991
band,block,1991
neural_network,pattern,1991
layer,neuron,1991
datum,input_datum,1991
component,detect,1991
address,second,1991
assembly,component,1991
distance,obstacle,1991
distance,steering,1991
optical,substrate,1991
component,method,1991
electronic,search,1991
amplifier,telephone,1991
amplifier,weighting,1991
execution,record,1991
course,obstacle,1991
terminal,update,1991
comparator,range,1991
speech_recognition,update,1991
row,update,1991
order,work,1991
distribution,probability,1991
feedback,row,1991
segmentation,step,1991
mechanism,work,1991
obstacle,steering,1991
binary,motion,1991
apply,comparator,1991
detection,range,1991
decrease,product,1991
counter,step,1991
encode,product,1991
estimate,order,1991
feedback,probability,1991
calculate,product,1991
index,search,1991
pressure,wave,1991
binary,sort,1991
automatic,guide,1991
electronic,vowel,1991
encode,feature_vector,1991
output,signal,1991
noise,signal,1991
vehicle,wire,1991
circuit,output,1991
noise,speech,1991
phoneme,symbol,1991
aircraft,flight,1991
condition,machine,1991
mode,symbol,1991
control,process,1991
control,fuzzy,1991
travel,vehicle,1991
element,layer,1991
frequency,speech,1991
display,graphic,1991
motion,position,1991
action,process,1991
neural_network,recognize,1991
dictionary,electronic,1991
correlation,optical,1991
computer,module,1991
intermediate,neural,1991
sound,symbol,1991
sound,text,1991
symbol,text,1991
analysis,mechanism,1991
data,mechanism,1991
guidance,mechanism,1991
guidance,guide,1991
final,vowel,1991
clause,independent,1991
counter,hypothesis,1991
electronic,sheet,1991
calculate,operating,1991
calculate,transmission,1991
amplifier,operational,1991
driver,index,1991
environment,external,1991
displacement,wire,1991
external,resource,1991
fuzzy_logic,terminal,1991
multipli,multiplication,1991
analysis,inter,1991
laser,range,1991
plurality,transformation,1991
speech_recognition,voice_command,1991
automatic,focus,1991
detection,focus,1991
disk,pair,1991
multiplication,table,1991
multipli,probability,1991
external,work,1991
amplifier,intermediate,1991
action,course,1991
disk,record,1991
binary,partial,1991
image_datum,multiplication,1991
flight,missile,1991
filter,shape,1991
color,correction,1991
data,weighting,1991
image_datum,sort,1991
sort,unknown,1991
conclusion,confidence,1991
sheet,work,1991
analog,intermediate,1991
data,encode,1991
encode,response,1991
calculate,length,1991
length,product,1991
guide,laser,1991
control_system,detection,1991
abnormality,index,1991
analog,transmission,1991
feedback,intermediate,1991
array,mechanism,1991
analysis,segmentation,1991
intermediate,probability,1991
elevator,estimate,1991
data,range,1991
section,voice,1991
character,recognition,1991
phoneme,speech,1991
learn,neural,1991
control,variable,1991
layer,neural,1991
function,fuzzy,1991
function,value,1991
expert,knowledge,1991
bus,processor,1991
block,sound,1991
learning,processing,1991
aircraft,track,1991
distance,measure,1991
sequence,sound,1991
knowledge,rule,1991
display,knowledge,1991
input,output,1991
network,output,1991
input,value,1991
fuzzy,reasoning,1991
computer,path,1991
area,graphic,1991
aircraft,performance,1991
address,memory,1991
sound,speaker,1991
chip,row,1991
inter,relation,1991
electronic,level,1991
level,search,1991
data,guidance,1991
controller,guide,1991
control_system,discrimination,1991
estimate,nonlinear,1991
abnormality,operator,1991
abnormality,user,1991
operator,user,1991
attribute,clause,1991
conclusion,unknown,1991
electrode,water,1991
comparator,switch,1991
range,switch,1991
record,reference,1991
operating,transmission,1991
drive,index,1991
reference,weighting,1991
chip,distribution,1991
filter,water,1991
relation,vowel,1991
driver,operator,1991
internal,resource,1991
coordinate,dimensional,1991
independent,operator,1991
monitor,weighting,1991
mechanism,production,1991
production,work,1991
material,portion,1991
color,form,1991
apparatus,write,1991
electrode,material,1991
electrode,plurality,1991
material,plurality,1991
derive,estimate,1991
remote,speech_recognition,1991
control_system,voice_command,1991
guidance,response,1991
guidance,user,1991
response,user,1991
conclusion,operational,1991
operational,valve,1991
date,training,1991
action,operating,1991
multipli,processing_apparatus,1991
production,transformation,1991
image_datum,image_processing,1991
correction,number,1991
external,similarity,1991
external,voice_command,1991
similarity,voice_command,1991
command,location,1991
assembly,probability,1991
probability,register,1991
final,table,1991
course,monitor,1991
image_processing,user,1991
attribute,search,1991
derive,pressure,1991
fuzzy_logic,operating,1991
switch,terminal,1991
image_processing,transmission,1991
elevator,image_processing,1991
elevator,processing_apparatus,1991
binary,level,1991
membership,row,1991
execution,roll,1991
internal,weighting,1991
index,sample,1991
image_datum,unknown,1991
band,calculate,1991
represent,sheet,1991
flight,track,1991
apparatus,environment,1991
data,response,1991
direction,transformation,1991
analog,band,1991
assembly,mechanism,1991
focus,processing_apparatus,1991
sample,speech_recognition,1991
binary,register,1991
register,sort,1991
method,segmentation,1991
inter,track,1991
analog,form,1991
analog,substrate,1991
similarity,unknown,1991
operating,valve,1991
noise,voice,1991
character,document,1991
voice,voice_command,1991
similarity,voice,1991
aircraft,angle,1991
current,node,1991
sequence,speaker,1991
base,inference,1991
conclusion,rule,1991
value,weight,1991
function,linear,1991
input,training,1991
group,speaker,1991
dictionary,standard,1991
processing,processor,1991
point,standard,1991
linear,matrix,1991
matrix,nonlinear,1991
matrix,relation,1991
dictionary,frequency,1991
channel,noise,1991
line,missile,1991
learn,rate,1991
rate,recognition,1991
multipli,vector,1991
block,memory,1991
bus,node,1991
processing_apparatus,stage,1991
charge,electrode,1991
represent,string,1991
digital,missile,1991
controller,execute,1991
diagnostic,mechanism,1991
controller,guidance,1991
guide,structure,1991
board,station,1991
air,fuel,1991
template,training,1991
attribute,natural_language,1991
method,number,1991
obstacle,travel,1991
electrode,monitor,1991
monitor,water,1991
detect,focus,1991
method,unknown,1991
measure,step,1991
guide,machine,1991
cell,obstacle,1991
charge,material,1991
distribution,item,1991
item,order,1991
item,work,1991
method,table,1991
represent,variable,1991
power,vowel,1991
form,table,1991
relation,response,1991
channel,inter,1991
date,similarity,1991
calculate,storage,1991
inter,language,1991
coefficient,electronic,1991
control_system,controller,1991
control_system,variable,1991
assembly,material,1991
reference,represent,1991
image_processing,method,1991
data,input_datum,1991
control_system,remote,1991
distribution,power,1991
multipli,substrate,1991
processing_apparatus,substrate,1991
correction,internal,1991
internal,number,1991
final,stage,1991
displacement,pixel,1991
displacement,shift,1991
location,power,1991
channel,location,1991
internal,missile,1991
assembly,multipli,1991
multipli,register,1991
machine,work,1991
amplifier,cell,1991
coupling,internal,1991
search,structure,1991
environment,measure,1991
apparatus,image_processing,1991
apparatus,transmission,1991
amplifier,channel,1991
nonlinear,operational,1991
confidence,measure,1991
driver,form,1991
steering,travel,1991
row,storage,1991
data,internal,1991
automatic,shift,1991
charge,station,1991
feature_vector,measure,1991
monitor,station,1991
input_datum,instruction,1991
laser,track,1991
digital,intermediate,1991
control_system,roll,1991
encode,storage,1991
disk,track,1991
similarity,stage,1991
guidance,roll,1991
detect,dimensional,1991
beam,guide,1991
detect,valve,1991
band,transmission,1991
array,assembly,1991
instruction,production,1991
independent,variable,1991
analysis,method,1991
item,step,1991
air,pressure,1991
estimate,travel,1991
encode,performance,1991
feature_vector,performance,1991
machine,range,1991
function,input,1991
circuit,weighting,1991
fuzzy,operation,1991
datum,digital,1991
fuzzy,value,1991
pattern,standard,1991
fuzzy,inference,1991
point,waveform,1991
neural,speed,1991
internal,line,1991
distance,sensor,1991
neuron,output,1991
memory,value,1991
dictionary,speech,1991
category,pattern,1991
file,knowledge,1991
input,linear,1991
model,state,1991
category,learn,1991
input,level,1991
correlation,matrix,1991
chip,substrate,1991
coefficient,coupling,1991
electrode,shift,1991
data,diagnostic,1991
diagnostic,guidance,1991
guidance,structure,1991
board,controller,1991
performance,user,1991
natural_language,structure,1991
apparatus,form,1991
change,reasoning,1991
command,string,1991
membership,track,1991
apparatus,remote,1991
laser,machine,1991
digital,linear,1991
measure,operational,1991
array,pixel,1991
program,search,1991
air,laser,1991
class,sort,1991
driver,storage,1991
item,table,1991
segment,vowel,1991
register,variable,1991
angle,decrease,1991
decrease,motor,1991
missile,pixel,1991
board,hand,1991
board,remote,1991
hand,remote,1991
analysis,language,1991
class,mechanism,1991
class,work,1991
controller,variable,1991
language,natural_language,1991
roll,track,1991
frequency,sort,1991
length,pixel,1991
apparatus,hand,1991
represent,utterance,1991
speech_recognition,standard,1991
action,utterance,1991
operating,utterance,1991
current,wire,1991
machine,similarity,1991
machine,voice_command,1991
reference,sample,1991
assembly,substrate,1991
controller,register,1991
assembly,register,1991
motion,motor,1991
missile,rate,1991
